Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Arthropoda,Malacostraca,Cumacea,,,,Cumacea,AB_ Cumacea sp 1,water column,macrofauna
Arthropoda,Malacostraca,Cumacea,,,,Cumacea,AB_ Cumacea sp 2,water column,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 1,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 11,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 12,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 13,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 14,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 15,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 16,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 18,sediment,macrofauna
Arthropoda,Malacostraca,Isopoda,,,,Isopoda,AB_ Isopoda Type 19,sediment,macrofauna
